Location
No location found
"Franklin Co., Fla"
"Lawrence Co., Alabama"
"Tioga Co., N.Y."
"McCracken Co., Ky"
No location found
"Jasper County, Texas"
"Alachua Co., Fla"
"Hancock County, Miss"
"Coper County, Mo"
"Chatham County, Ga."
"Oswego County, N.Y."
"Alachua County, Fla"
"St. John's County, Fla"
"Perry County, Miss"
"Alachua County, Fla"
"Chambers County, Texas"
"Marshall County, Okla"
"Franklin County, Fla"
"Hancock County, Miss"
"Sandoval County, N. Mex."
"Wakulla County, Fla"
"Levy County, Fla"
"Schuyler County, N.Y."
"Dade County, Fla"
"Clarke County, Miss"
"Shelby County, Ohio"
"Glades County, Fla"
"Limestone County, Texas"
"Charlton Co., Ga"
"Pima County, Ariz"
"Long Point, Lake Erie, Ontario, Canada"
"Alachua Co., Fla"
"Big Pine Key, Monroe Co, Fla"
"Charlotte Co, Fla"
"Plantation Key, Monroe Co, Fla"
"Chatham Co., Ga"
"Milot, Haiti, Wis"
"Ocean County, N.J."
"Alachua Co., Fla"
"Livingston County, Michigan"
"Cape May Co., N.J."
"Dade Co., Fla"
"Wakulla County, Fla"
"Hinds Co., Miss"
"Palm Beach Co., Fla"
"Obion County, Tenn"
"Alachua Co., Fla"
"Washington Co., Ohio"
"Alachua Co., Fla"
"Dade Co., Fla"
"Alachua Co., Fla"
"Murray Co., Ga"
"Tift Co., Ga"
"Leon Co., Fla"
"Terrebonne Par., La"
"Gwinnett Co., Ga"
"Marion Co., Fla"
"Howard Co., Tex"
"Kiowa Co., Okla"
"Brewster Co., Tex"
"Alachua Co., Fla"
"Brunswick Co., Va"
"Berkeley Co., Mo"
"Carter Co., Mo"
"Hidalgo Co., Tex"
No location found
"Berks Co., Pa"
"Alachua Co., Fla"
No location found
No location found
Location found
No location found
"Brewster Co., Tex"
"Alachua Co., Fla"
"Alachua Co., Fla"
"Attala Co., Miss"
"Attala Co., Miss"
"Pinna Co., Ariz"
"Alachua Co., Fla"
"Howard Co., Tex"
"Pecos Co., Tex"
"Alachua Co., Fla"
"Alachua Co., Fla"
"Alachua Co., Fla"
"Alachua Co., Fla"
N.Y.
N.Y.
"Escambia Co., Fla"
"Escambia Co., Fla"
"Los Angeles County, California"
"Los Angeles County, California"
"Livingston Co., Mich"
"Livingston Co., Mich"
"Livingston Co., Mich"
"Livingston Co., Mich"
"Livingston Co., Mich"
"Monroe Co., Fla"
"Monroe Co., Fla"
"Monroe Co., Fla"
"Brewster Co., Tex"
"Brewster Co., Tex"
"Kern County, California"
No location found
"Los Angeles County, California"
No location found
"Clark County, Nevada"
No location found
"Baja California, Mexico"
No location found
"Los Angeles County, California"
No location found
"Santa Barbara County, California"
No location found
"Ventura County, California"
No location found
"Los Angeles County, California"
No location found
No location found
"Malibu, Los Angeles County, California"
"Inyo County, California"
No location found
"Los Angeles Co., Calif. (Mescal Picnic Area)"
"San Bernardino County, California"
No location found
"Santa Barbara County, California"
No location found
"Baja California, Mexico"
No location found
"Inyo County, California"
No location found
No location found
No location found
No location found
No location found
"San Diego County, California"
No location found
"Ventura County, California"
No location found
"Los Angeles Co., Calif."
No location found
"Inyo Co., Calif., 11 miles west of Lone Pine"
"Inyo Co., Calif., 6 miles west of Independence"
"Santa Barbara County, California"
No location found
"Lincoln County, Nevada"
No location found
"Baja California, Mexico"
No location found
"Nye County, Nevada"
No location found
"Riverside County, California"
No location found
No location found
"Moffat Co., Colo., near Dinosaur National Monument"
"Dyer Co., Tenn"
"Charlton Co., Ga"
"Clay Co., Fla"
"Levy Co., Fla"
"Dade Co., Fla"
"Dickson Co., Tenn"
"Schuyler Co, N.Y."
"Mt. Diablo State Park, Contra Costa Co., Calif"
"Encinal Canyon, Santa Monica Mountains, Los Angeles Co., Calif"
"Brewster Co., Tex"
"Navajo Co., Ariz"
"Hobo Cpgr., Kern River Canyon, Kern Co., Calif"
"Hobo Cpgr., Kern River Canyon, Kern Co., Calif"
"Cochise Co., Ariz: Chiaricahua Mts."
"Pima Co., Ariz.: Madera Canyon"
"Luna Co., N. Mex"
"Brewster Co., Tex"
"Luna Co., N. Mex"
"El Dorado Co., Calif"
"Los Angeles Co., Calif. (Devil's Punchbowl County Park)"
"Ventura Co., Calif. (Pont Mugu State Park)"
"Glenn Co., Calif., 6 mi w Plaskett Meadows"
"Mono Co., Calif."
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
No location found
"Calhoun County, Tex"
"Freestone County, Tex"
"Webb County, Tex"
"Navajo County, Ariz"
"Mineral County, Nev. (Weber Reservoir)"
"Brewster Co., Tex"
